image_id,Smiling
000001.jpg,1
000002.jpg,1
000005.jpg,0
000006.jpg,0
000007.jpg,0
000008.jpg,0
000009.jpg,1
000010.jpg,0
000011.jpg,1
000012.jpg,1
000013.jpg,1
000014.jpg,1
000015.jpg,0
000016.jpg,1
000017.jpg,1
000018.jpg,1
000019.jpg,0
000020.jpg,0
000021.jpg,1
000022.jpg,0
000023.jpg,1
000024.jpg,0
000025.jpg,0
000026.jpg,0
000027.jpg,1
000028.jpg,1
000029.jpg,1
000030.jpg,0
000031.jpg,1
000032.jpg,0
000033.jpg,1
000034.jpg,0
000035.jpg,0
000038.jpg,1
000039.jpg,1
000040.jpg,0
000042.jpg,1
000043.jpg,1
000044.jpg,0
000045.jpg,1
000046.jpg,1
000047.jpg,1
000049.jpg,0
000050.jpg,1
000051.jpg,0
000052.jpg,0
000053.jpg,0
000054.jpg,1
000055.jpg,0
000056.jpg,0
000057.jpg,0
000058.jpg,0
000061.jpg,0
000063.jpg,1
000064.jpg,1
000065.jpg,1
000066.jpg,1
000068.jpg,1
000069.jpg,0
000071.jpg,1
000072.jpg,1
000073.jpg,0
000075.jpg,0
000076.jpg,1
000077.jpg,1
000078.jpg,0
000079.jpg,1
000080.jpg,0
000081.jpg,1
000082.jpg,1
000083.jpg,1
000084.jpg,0
000085.jpg,0
000087.jpg,1
000088.jpg,0
000089.jpg,0
000090.jpg,0
000091.jpg,0
000092.jpg,1
000096.jpg,0
000097.jpg,0
000098.jpg,0
000099.jpg,1
000100.jpg,0
000101.jpg,0
000102.jpg,0
000103.jpg,0
000104.jpg,1
000105.jpg,0
000106.jpg,1
000107.jpg,1
000108.jpg,1
000109.jpg,0
000110.jpg,1
000112.jpg,1
000113.jpg,1
000114.jpg,1
000115.jpg,0
000116.jpg,1
000117.jpg,0
000118.jpg,1
000119.jpg,0
000121.jpg,1
000122.jpg,1
000123.jpg,0
000125.jpg,1
000126.jpg,1
000127.jpg,1
000128.jpg,0
000129.jpg,1
000130.jpg,1
000131.jpg,1
000132.jpg,1
000133.jpg,1
000135.jpg,1
000136.jpg,0
000139.jpg,1
000141.jpg,0
000142.jpg,0
000143.jpg,1
000145.jpg,1
000147.jpg,0
000148.jpg,0
000151.jpg,1
000153.jpg,1
000155.jpg,1
000156.jpg,1
000157.jpg,0
000158.jpg,0
000160.jpg,0
000161.jpg,1
000162.jpg,0
000163.jpg,0
000164.jpg,0
000165.jpg,0
000168.jpg,1
000169.jpg,0
000171.jpg,0
000172.jpg,1
000173.jpg,1
000174.jpg,1
000175.jpg,1
000176.jpg,1
000177.jpg,0
000178.jpg,1
000179.jpg,1
000180.jpg,1
000181.jpg,1
000182.jpg,0
000183.jpg,1
000185.jpg,0
000186.jpg,1
000187.jpg,1
000188.jpg,0
000189.jpg,1
000190.jpg,0
000191.jpg,1
000192.jpg,1
000193.jpg,0
000194.jpg,1
000195.jpg,1
000196.jpg,1
000198.jpg,0
000200.jpg,0
000201.jpg,0
000202.jpg,0
000203.jpg,0
000204.jpg,1
000205.jpg,0
000206.jpg,1
000207.jpg,0
000208.jpg,1
000209.jpg,1
000210.jpg,0
000211.jpg,0
000212.jpg,0
000213.jpg,0
000214.jpg,1
000215.jpg,0
000216.jpg,0
000218.jpg,1
000219.jpg,0
000221.jpg,0
000222.jpg,1
000223.jpg,1
000225.jpg,1
000226.jpg,1
000228.jpg,1
000229.jpg,0
000230.jpg,1
000231.jpg,0
000232.jpg,1
000233.jpg,0
000234.jpg,0
000235.jpg,0
000238.jpg,0
000239.jpg,1
000241.jpg,1
000242.jpg,0
000244.jpg,0
000245.jpg,1
000246.jpg,0
000247.jpg,1
000248.jpg,0
000249.jpg,1
000250.jpg,0
000251.jpg,0
000252.jpg,1
000253.jpg,0
000254.jpg,1
000255.jpg,0
000256.jpg,1
000257.jpg,0
000258.jpg,0
000259.jpg,1
000260.jpg,0
000261.jpg,0
000262.jpg,1
000263.jpg,0
000264.jpg,0
000267.jpg,0
000268.jpg,0
000269.jpg,1
000270.jpg,1
000271.jpg,1
000272.jpg,1
000273.jpg,1
000274.jpg,1
000275.jpg,0
000276.jpg,1
000277.jpg,1
000278.jpg,1
000279.jpg,0
000280.jpg,1
000281.jpg,0
000282.jpg,1
000284.jpg,1
000285.jpg,0
000286.jpg,1
000287.jpg,0
000288.jpg,0
000289.jpg,0
000290.jpg,0
000291.jpg,0
000292.jpg,0
000295.jpg,1
000296.jpg,1
000297.jpg,0
000298.jpg,1
000299.jpg,1
000301.jpg,1
000302.jpg,1
000303.jpg,0
000304.jpg,0
000305.jpg,0
000306.jpg,0
000307.jpg,1
000311.jpg,0
000312.jpg,1
000313.jpg,1
000315.jpg,0
000317.jpg,1
000318.jpg,1
000319.jpg,0
000320.jpg,0
000321.jpg,0
000322.jpg,1
000323.jpg,0
000324.jpg,1
000325.jpg,1
000326.jpg,0
000327.jpg,1
000328.jpg,1
000329.jpg,0
000330.jpg,1
000332.jpg,0
000334.jpg,1
000336.jpg,1
000337.jpg,0
000338.jpg,0
000339.jpg,0
000340.jpg,1
000341.jpg,1
000342.jpg,0
000343.jpg,0
000344.jpg,0
000345.jpg,0
000346.jpg,0
000349.jpg,1
000350.jpg,0
000351.jpg,0
000352.jpg,1
000353.jpg,1
000354.jpg,1
000355.jpg,0
000356.jpg,0
000357.jpg,1
000358.jpg,1
000359.jpg,1
000360.jpg,0
000361.jpg,0
000362.jpg,0
000363.jpg,0
000364.jpg,1
000367.jpg,0
000368.jpg,1
000369.jpg,1
000370.jpg,0
000371.jpg,0
000372.jpg,1
000377.jpg,0
000380.jpg,1
000381.jpg,1
000382.jpg,1
000383.jpg,0
000384.jpg,1
000385.jpg,1
000386.jpg,1
000387.jpg,1
000388.jpg,1
000389.jpg,0
000390.jpg,0
000391.jpg,1
000392.jpg,0
000393.jpg,1
000394.jpg,1
000396.jpg,1
000397.jpg,0
000398.jpg,0
000399.jpg,0
000400.jpg,0
000401.jpg,0
000402.jpg,0
000403.jpg,0
000404.jpg,1
000405.jpg,0
000406.jpg,1
000407.jpg,1
000408.jpg,0
000409.jpg,0
000410.jpg,1
000411.jpg,1
000412.jpg,1
000413.jpg,1
000414.jpg,1
000415.jpg,0
000418.jpg,0
000420.jpg,1
000421.jpg,0
000422.jpg,1
000423.jpg,0
000424.jpg,1
000425.jpg,1
000426.jpg,1
000427.jpg,0
000428.jpg,1
000429.jpg,0
000430.jpg,1
000431.jpg,1
000432.jpg,0
000433.jpg,1
000434.jpg,0
000435.jpg,1
000436.jpg,1
000437.jpg,1
000438.jpg,0
000439.jpg,1
000440.jpg,1
000441.jpg,1
000442.jpg,0
000443.jpg,0
000445.jpg,0
000446.jpg,1
000449.jpg,0
000450.jpg,0
000451.jpg,0
000452.jpg,1
000454.jpg,1
000455.jpg,1
000456.jpg,1
000457.jpg,1
000458.jpg,1
000461.jpg,0
000462.jpg,1
000463.jpg,0
000464.jpg,0
000466.jpg,0
000467.jpg,1
000468.jpg,0
000469.jpg,0
000470.jpg,0
000471.jpg,1
000472.jpg,1
000473.jpg,0
000474.jpg,0
000475.jpg,1
000476.jpg,1
000477.jpg,1
000478.jpg,0
000480.jpg,0
000481.jpg,0
000483.jpg,1
000484.jpg,1
000485.jpg,1
000486.jpg,1
000487.jpg,1
000488.jpg,0
000489.jpg,1
000490.jpg,0
