image_id,Wavy_Hair
000001.jpg,0
000002.jpg,0
000005.jpg,0
000006.jpg,1
000007.jpg,0
000008.jpg,0
000009.jpg,0
000010.jpg,1
000011.jpg,0
000012.jpg,0
000013.jpg,0
000014.jpg,0
000015.jpg,0
000016.jpg,0
000017.jpg,0
000018.jpg,1
000019.jpg,1
000020.jpg,0
000021.jpg,0
000022.jpg,1
000023.jpg,0
000024.jpg,0
000025.jpg,0
000026.jpg,0
000027.jpg,1
000028.jpg,1
000029.jpg,1
000030.jpg,1
000031.jpg,0
000032.jpg,0
000033.jpg,0
000034.jpg,1
000035.jpg,1
000038.jpg,0
000039.jpg,1
000040.jpg,0
000042.jpg,0
000043.jpg,1
000044.jpg,0
000045.jpg,1
000046.jpg,1
000047.jpg,0
000049.jpg,0
000050.jpg,0
000051.jpg,0
000052.jpg,0
000053.jpg,0
000054.jpg,1
000055.jpg,1
000056.jpg,0
000057.jpg,0
000058.jpg,1
000061.jpg,0
000063.jpg,1
000064.jpg,0
000065.jpg,0
000066.jpg,0
000068.jpg,0
000069.jpg,0
000071.jpg,0
000072.jpg,0
000073.jpg,1
000075.jpg,0
000076.jpg,0
000077.jpg,1
000078.jpg,0
000079.jpg,0
000080.jpg,0
000081.jpg,0
000082.jpg,0
000083.jpg,1
000084.jpg,1
000085.jpg,1
000087.jpg,0
000088.jpg,1
000089.jpg,1
000090.jpg,0
000091.jpg,0
000092.jpg,0
000096.jpg,1
000097.jpg,1
000098.jpg,1
000099.jpg,1
000100.jpg,0
000101.jpg,0
000102.jpg,0
000103.jpg,0
000104.jpg,0
000105.jpg,0
000106.jpg,0
000107.jpg,1
000108.jpg,1
000109.jpg,0
000110.jpg,0
000112.jpg,1
000113.jpg,0
000114.jpg,0
000115.jpg,0
000116.jpg,0
000117.jpg,1
000118.jpg,0
000119.jpg,1
000121.jpg,0
000122.jpg,0
000123.jpg,0
000125.jpg,0
000126.jpg,0
000127.jpg,0
000128.jpg,0
000129.jpg,0
000130.jpg,0
000131.jpg,1
000132.jpg,0
000133.jpg,0
000135.jpg,0
000136.jpg,1
000139.jpg,1
000141.jpg,0
000142.jpg,1
000143.jpg,0
000145.jpg,1
000147.jpg,0
000148.jpg,0
000151.jpg,0
000153.jpg,0
000155.jpg,0
000156.jpg,1
000157.jpg,0
000158.jpg,0
000160.jpg,0
000161.jpg,0
000162.jpg,1
000163.jpg,1
000164.jpg,0
000165.jpg,1
000168.jpg,0
000169.jpg,0
000171.jpg,0
000172.jpg,1
000173.jpg,0
000174.jpg,0
000175.jpg,0
000176.jpg,0
000177.jpg,0
000178.jpg,1
000179.jpg,0
000180.jpg,0
000181.jpg,0
000182.jpg,0
000183.jpg,0
000185.jpg,1
000186.jpg,0
000187.jpg,0
000188.jpg,0
000189.jpg,0
000190.jpg,1
000191.jpg,0
000192.jpg,1
000193.jpg,0
000194.jpg,0
000195.jpg,0
000196.jpg,0
000198.jpg,0
000200.jpg,0
000201.jpg,0
000202.jpg,0
000203.jpg,0
000204.jpg,0
000205.jpg,0
000206.jpg,0
000207.jpg,1
000208.jpg,0
000209.jpg,0
000210.jpg,0
000211.jpg,1
000212.jpg,0
000213.jpg,0
000214.jpg,0
000215.jpg,0
000216.jpg,0
000218.jpg,0
000219.jpg,1
000221.jpg,0
000222.jpg,0
000223.jpg,0
000225.jpg,0
000226.jpg,0
000228.jpg,0
000229.jpg,0
000230.jpg,0
000231.jpg,1
000232.jpg,1
000233.jpg,0
000234.jpg,0
000235.jpg,0
000238.jpg,1
000239.jpg,0
000241.jpg,0
000242.jpg,0
000244.jpg,0
000245.jpg,0
000246.jpg,0
000247.jpg,0
000248.jpg,0
000249.jpg,0
000250.jpg,0
000251.jpg,1
000252.jpg,1
000253.jpg,0
000254.jpg,0
000255.jpg,0
000256.jpg,0
000257.jpg,1
000258.jpg,1
000259.jpg,1
000260.jpg,1
000261.jpg,0
000262.jpg,1
000263.jpg,1
000264.jpg,0
000267.jpg,0
000268.jpg,1
000269.jpg,1
000270.jpg,0
000271.jpg,1
000272.jpg,0
000273.jpg,1
000274.jpg,0
000275.jpg,0
000276.jpg,1
000277.jpg,1
000278.jpg,1
000279.jpg,1
000280.jpg,0
